주요등장인물,1001|1004|1005|1006|1008|1009,퍼즐,,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
,,2702,1005,대기업에서도 그런 너를 알아보는 거지~,,,,0,2,,,,,,
,,2702,1005,이 나이에 팀장이라니.. 진짜 최고다!,,,,0,2,,,,,,
,,2702,1004,아냐 뭐.. 운이 좋았지.,,,,0,1,,,,,,
,,2702,1004,너야말로 이번에 전시회를 했다고? 키야...,,,,1,1,,,,,,
,,2702,1004,그렇게 고생 많이 하더니만,,,,1,1,,,,,,
,,2702,1004,이제야 빛을 좀 보기 시작하는구만!,,,,1,1,,,,,,
,,2702,1004,그 뭐야... 그 미술 잡지에서 인터뷰 한다는 거는 어떻게 됐어?,,,,0,1,,,,,,
,,2702,1001,……,,,,0,1,,술집(어둠),,,,
,,2702,1001,아.. 부럽다...,,,,0,1,,,,,,
,,2702,1001,재준이는 어릴때부터 똑부러지게 하더니 좋은데로 갔고,,,,0,1,,,,,,
,,2702,1001,장현이는 꾸준하게 해나가더니 결국 잘 되었네,,,,0,1,,,,,,
,,2702,1001,하… 나는 왜 이렇게 못난거지?,,,,0,0,,,,,,
,,2702,1001,요즘이 내 인생 최악의 시기가 아닐까?,,,,0,0,,,,,,
,,2702,1005,응. 잡지사 두 곳에서 연락이 왔는데,,,,0,2,,술집,,,,
,,2702,1005,어디에서 인터뷰를 할까 고민중이야..,,,,0,2,,,,,,
,,2702,1005,두 곳 다하기에는 아무래도 좀 부담스럽기도 하고…,,,,0,2,,,,,,
,,2702,1001,으으….,,,,0,1,,술집(어둠),,,,
,,2702,1001,더 이상 듣고 싶지 않아..,,,,0,1,,,,,,
,,2702,1001,나는…. 나는……..,,,,0,1,,,,,,
,,2702,1004,어어` 야 도문아 괜찮냐?,,,,0,2,,,,,,
,,2702,1005,잘거면 여기 편하게 기대고 자!,,,,0,1,,,,,,
1,,2703,,물 속에 빠진 듯 친구들의 목소리가 점점 뭉그러지게 들려왔다.,,,,,,,black,,,,
,,2703,,그들의 목소리가 점점 멀어져갔다.,,,,,,,,,,,
,,2703,,그리고 어느새 나는 기괴한 곳에 도착해 있었다.,,,,,,,놀이공원,,,,
,,2703,1001,놀이..공원…?,,,,6,1,,,,,,
,,2703,,폐장한지 꽤 시간이 오래 흐른 것 같아 보이는 놀이공원이 눈 앞에 나타났다.,,,,,,,,,,,
,,2703,,커다란 광장 한 가운데에 혼자서 흘러가는 회전목마는 어딘가 삐거덕 거리며 소름끼치는 소리를 냈다.,,,,,,,,,,,
,,2703,,혼자 흘러가는 회전목마 위에는 먼지가 뽀얗게 앉아 있었다.,,,,,,,,,,,
,,2703,1001,저긴 어디지…?,,,,6,1,,,,,,
,,2703,,한 천막 앞에 사람들이 줄지어 서있었다.,,,,,,,10_1,,,,
,,2703,,나는 홀린 듯이 그곳으로 향했다.,,,,,,,,,,,
,,2703,,그리고 그 곳에 있던 사람들은 내게 무척이나 익숙한 이들이었다.,,,,,,,,,,,
,,2703,,저 앞에는 내 입사 동기인 고준일씨가`,,,,,,,,,,,
,,2703,,그리고 저기 롤러코스터 입구처럼 보이는 곳에는 친구인 재준과 장현이가`,,,,,,,,,,,
,,2703,,그리고 관람차 앞에는 내 여자친구인 새나가 있었다.,,,,,,,,,,,
,,2703,,나는 이 이상한 곳에서 아는 사람들을 만났다는 안도감에 세차게 그들을 향해 뛰어갔다.,,,,,,,,,,,
1,,2704,,,,,,,,2,10_2,,,,
,,2704,1001,흐아악!!,,,,9,1,1,,,,,
,,2704,,하지만 그들의 얼굴을 보자마자` 나는 공포로 온 몸이 굳어버렸다.,,,,,,,,,,,
,,2704,,그들의 얼굴은 무감정` 무표정만을 짓고 있었다.,,,,,,,,,,,
,,2704,,그 텅 빈 눈동자는 사람이 아닌 것만 같았다.,,,,,,,,,,,
,,2704,1001,흐익..! 도.. 도망쳐..!!,,,,9,1,,,,,,
,,2704,,기괴한 공포 속에서 도망치려고했지만 몸이 말을 듣지 않았다.,,,,,,,,,,,
,,2704,,내 몸이 아닌 것처럼 굳어버려서 꼼짝 없이 그들과 마주할 수 밖에 없었다.,,,,,,,,,,,
9,,2705,,-미니게임-,,,,,,,미니게임,,,,
1,,2706,,사람들의 도움으로 겨우 그 이상한 놀이공원을 빠져 나올 수 있었다.,,,,,,1,놀이공원(후),,,,
,,2706,,그리고 그곳을 빠져 나오고 뒤를 돈 순간` 놀이공원은 마치 신기루였던 것 마냥 사라져 있었다.,,,,,,,,,,,
,,2706,,내가 본 것은 대체 무엇이었을까?,,,,,,,,,,,
1,,2707,1004,여…. 도문이!!! 일어나야지!!,,,,0,2,,술집,,,,
,,2707,1004,이제 집에 갈 시간이다 임마!,,,,0,2,,,,,,
,,2707,1005,새나씨.. 네.. 걱정마세요 저희가 집에 잘 데려다 놓겠습니다.,,,,0,2,,,,,,
,,2707,1005,어휴 그럼요.. 아` 술을 마셨을 때 따뜻한 음료를 주면 좋아한다구요? 알겠습니다~,,,,1,2,,,,,,
,,2707,1001,흐헙!,,,,9,1,,,,,,
,,2707,,도문이는 깜짝 놀라 화들짝 잠에서 깨어났다.,,,,,,,,,,,
,,2707,1005,아` 도문이도 이제 정신을 차린 것 같네요.,,,,0,2,,,,,,
,,2707,1004,야~ 술 좀 깼냐?,,,,1,2,,,,,,
,,2707,1004,뭐… 뭐야 왜이래? 나.. 날 왜 이렇게 아련한 눈빛으로 바라보는거야?,,,,6,2,,,,,,
,,2707,,잠에서 덜 깬 도문이는 재빨리 친구들의 눈동자를 살폈다.,,,,0,,,,,,,
,,2707,1001,눈동자가.. 생생하고 반짝거리고 있네… 훌쩍..,,,,5,1,,,,,,
,,2707,1004,뭐? 하하하하하!!,,,,1,2,,,,,,
,,2707,1004,가만보면 도문이도 술버릇 진짜 이상하다니까~,,,,1,2,,,,,,
,,2707,1004,얼른 일어나! 집에 가야지!,,,,1,2,,,,,,
,,2707,1004,편의점에서 꿀유자차 한잔 어때?,,,,1,2,,,,,,
,,2707,,자신을 진심으로 걱정해주는 친구들의 모습을 보자,,,,,,,,,,,
,,2707,,갑자기 눈물이 터져나와 당황스러운 도문이었다.,,,,,,,,,,,
,,2707,,도문이는 술을 마시고 있어서 정말 다행이라는 생각을 했다,,,,,,,,,,,
,,2707,,자신의 싱숭생숭한 감정을 술기운탓으로 돌릴 수 있었으니 말이다.,,,,,,,,,,,
E,,,,,,,,,,,,,,,
