등장주요인물,1000|1001,퍼즐,Cilff|Cave,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,배경 id,콘텐츠,배경음,효과음,.
,,1917,1000,나는 너의 그림이 자유로울 때가 더 좋아.,,,,1,0,,,,,,
,,1917,1000,그리고 너가 미래에 이 일을 직업으로 하지 않는다고 해서` 그 일이 놓아지는 건 아니야.,,,,2,0,,,,,,
,,1917,1000,그러니까...,,,,2,0,,,,,,
,,1917,1000,너가 더 행복하고` 할 수 있는 일을 하길 바라.,,,,2,0,,,,,,
,,1917,1000,그리고 너가 하고 싶은 일은 어떠한 형태로도 할 수 있는 걸 꼭 알았으면 좋겠어.,,,,2,0,,,,,,
,,1917,1000,그게 꼭 직업은 아닐지라도...,,,,2,0,,,,,,
,,1917,1000,억지로 즐거워하지 않으면서까지 집착하지 않길 바라.,,,,4,0,,,,,,
1,,1918,1001,선생님.,,,,1,1,,교무실,,,,
,,1918,,도문은 방과 후에 선생님을 찾아갔다.,,,,,,,,,,,
,,1918,,그의 표정은 전보다 조금은 가벼워보였다.,,,,,,,,,,,
,,1918,,전보다는.,,,,,,,,,,,
,,1918,선생님,그래 무슨 일이니?,,,,5,2,,,,,,
,,1918,1001,저 정했어요.,,,,0,1,,,,,,
,,1918,1001,입시...,,,,0,1,,,,,,
,,1918,선생님,...그래. 고민 많았겠구나.,,,,5,2,,,,,,
,,1918,1001,저... 미대는 안가려고요.,,,,4,1,,,,,,
,,1918,선생님,정말 그래도 괜찮겠어?,,,,5,2,,,,,,
,,1918,1001,네.,,,,1,1,,,,,,
1,,1919,1001,사실... 지금 이렇게 그림 그리는게 즐겁지 않아요.,,,,2,1,,교무실,,,,
,,1919,1001,예전엔 즐거웠는데` 요즘엔 그냥... 아 이렇게 그려야하지 하면서 기계같이 움직이는 것 같아요.,,,,2,1,,,,,,
,,1919,1001,그리고... 나중에 그림을 직업으로 했을때도 이러면...,,,,2,1,,,,,,
,,1919,1001,저는 제일 좋았던 일이 제일 싫고 귀찮은 일이 될까봐 무서워요.,,,,2,1,,,,,,
,,1919,1001,그래서 안가려고요. 그리고...학비 문제도 있고요.,,,,2,1,,,,,,
,,1919,1001,...,,,,2,1,,,,,,
,,1919,1001,하지만 그렇다고 아예 그림을 안그릴 건 아니에요..!,,,,1,1,,,,,,
,,1919,1001,일단...경제학과에 진학한 다음에...어느정도 마음에 여유가 생긴다면...,,,,1,1,,,,,,
,,1919,1001,그땐 제가 그리고 싶은 걸 그리면서 살고싶어요.,,,,1,1,,,,,,
,,1919,1001,이게 제 꿈이에요.,,,,8,1,,,,,,
,,1919,,그렇게 말하는 도문의 얼굴은 홀가분해 보이면서도` 어딘가 서글프고 슬퍼보였다.,,,,,,,,,,,
1,,1920,선생님,경제학과로 진학하는거 괜찮겠니?,,,,5,2,,교무실,,,,
,,1920,1001,네. 예전부터 조금씩 생각했던 거에요. ,,,,0,1,,,,,,
,,1920,1001,그림이 아니면 내가 여기로 진학하겠구나...하고요.,,,,0,1,,,,,,
,,1920,1001,아버지 영향을 많이 받았나 봐요. 그리고 저 나름 경제에 흥미도 있어요!,,,,1,1,,,,,,
,,1920,1001,그러니까...괜찮아요 저는...,,,,0,1,,,,,,
,,1920,선생님,...,,,,5,2,,,,,,
,,1920,선생님,그걸로 너가 정말 괜찮다고 한다면...,,,,5,2,,,,,,
,,1920,선생님,그래 알았다. 다음번 상담때는 경제학과 대학 좀 알아보자.,,,,5,2,,,,,,
,,1920,1001,걱정하지마세요! 그럼 안녕히계세요 선생님.,,,,2,1,,,,,,
,,1920,,그렇게 교무실을 나온 도문은 미술실에 들려 화구를 챙긴 뒤 집으로 향했다.,,,,,,,,,,,
1,,1921,,,,,,,,2,5_4,,,천천히 걷는 소리,
,,1921,,평소보다 말을 많이하며` 자신은 괜찮다고 걱정하지 말라고 말했던 도문.,,,,,,4,,,,,
,,1921,,애써 자신은 괜찮다고 포장하면서 속으로는 삭히고 있던 서러움과 꿈을 포기한 것에 대한 좌절감,,,,,,,,,,,
,,1921,,학교를 나서자 그런 감정들이 도문을 덮쳤다.,,,,,,,,,,,
,,1921,,도문은 겨우겨우 서러운 울음을 참으며 고개를 푹 숙이고는 집으로 향했다.,,,,,,,,,,,
,,1921,,석양이 비추는 빛으로 그늘진 그의 뒷 모습이 서글프기만 하다.,,,,,,,5_5,,,stop,
E,,,,,,,,,,,,,,,
