등장주요인물,1001|1002|1003,,,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,배경 id,콘텐츠,배경음,효과음,.
,,738,,커튼 뒤 창가에 있던건` 창문을 향해 바라보고 있는 고미였다.,,,,,,,,,,,
,,738,1001,아! 고미 코가 창문에 부딪히는 소리였구나!,,,,1,0,,,BearDis,,,
,,738,,고미를 들어올린 도문은 창문에 고미의 코를 가져다 대기 시작했다.,,,,,,,,,,,
,,738,,그러자 아까부터 들려오던 소리와 같은 소리가 들리기 시작했다,,,,,,,,,,,
8,71,739,,툭...툭...툭...,,,738,,,1,,,,,
,,739,1001,...,,,,0,0,,,,,,
,,739,1001,근데... 고미는 나랑 있었잖아...,,,,2,0,,,,,,
,,739,1001,..!,,,,9,0,,,Sound3,,,
,,739,1001,으...으아아...윽...,,,,5,0,,,,,,
8,71,740,,도문은 뒤로 넘어지면서 고미를 떨어뜨렸다.,,,739,,,1,,BearBig,,,
,,740,1001,으...으...,,,,5,0,,,,,,
,,740,,,,,,,,7,,BearBig,,,
,,740,,큰 두려움에 울음조차 터트릴 수 없는 압박감이 몰려온다.,,,,,,1,,,,,
8,71,741,1001,시...흑...싫어...,,,740,5,0,1,,,,,
,,741,,,,,,,,7,,BearMove,,,
,,741,1001,오지마아...,,,740,5,0,1,,,,,
,,741,,,,,,,,7,,PlayerMove,,,
,,741,1001,고미 아니야아...저거 고미 아니야!!!,,,,5,0,1,,,,,
,,741,,,,,,,,7,,Choose,,,
8,72,742,1001,도망쳐야해..!,,,741,5,0,1,,,,,
8,7004|7005,743,,,,,742,,,7,,BearMove,,,
,,743,1001,악!!!,,,,5,0,1,,,,,
,,743,1001,으...으으...엄마! 엄마!,,,,5,0,,,,,,
,,743,,,,,,,,7,,PlayerMove,,,
8,7006|7007|7008|7009|7010,744,1001,으...으...,,,741,5,0,1,,,,,
,,744,1001,으아악!!,,,,5,0,,,,,,
,,744,,도문이 한눈을 판 사이에 고미가 도문에게 다가왔다.,,,,,,,,Gome,,,
,,744,1001,아냐...아니야... 엄마...엄마...,,,,5,0,,,,,,
,,744,1001,살...려...주세요...,,,,4,0,,,GameOver,,,
8,7011,745,1001,왜...왜 안켜지는 거야!,,,743,5,0,1,,,,,
,,745,1001,으허헝... 밝아지란 말이야... 어두워서 그런거야,,,,5,0,,,LightBlink2,,,
,,745,1001,고미가 저렇게 된건 어두워서 그런거야...,,,,5,0,,,,,,
,,745,1001,어...엄마...,,,,5,0,,,LightBlink1,,,
,,745,,아무리 스위치를 눌러도 잠깐 깜박이기만 하고 켜지지 않았다.,,,,,,,,Next,,,
8,7011,746,,소용없다.,,,745,,,1,,,,,
,,746,,,,,,,,,,,,,
,,746,,소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다소용없다,,,,,,,,Next,,,
8,7012,747,1002,도문아 이 시간까지 안자고 뭐하니?,,,746,1,,1,,,,,
,,747,1001,엄마! 엄마!!!,,,,5,0,,,,,,
,,747,1001,고미가 이상해요 엄마!,,,,5,0,,,,,,
,,747,1001,어...,,,,0,0,,,,,,
,,747,1001,왜...왜 안열리지?,,,,5,0,,,,,,
,,747,1001,엄마!!! 엄마!!!!,,,,5,0,,,,,,
,,747,1002,늦었으니까 얼른 자는거야 도문아? 알았지?,,,,0,0,,,,,,
,,747,1001,엄마! 문이 이상해요 엄마! 도문이 나갈래요! 엄마 살려주세요! 살려..주세요...,,,,5,0,,,Next,,,
8,72,748,1001,사...살려주세요...,,,,5,0,1,,,,,
,,748,,,,,,,,7,,SceneOver,,,
,,748,고미,히...,,,,21,,1,,,,,
,,748,1001,어...어떻게 해...,,,,5,0,,,,,,
8,72,749,,,,,747,,,7,,MiniGame,,,
,,749,1001,저...저리가!,,,,5,0,1,,Eight,,,
8,7006|7007|7008|7009|7010,750,1001,못오게 막아야해...,,,749,2,0,1,,,,,
8,7005,751,1001,빨리...빨리!!,,,749,5,0,1,,,,,
8,71,752,1001,으...저리가!!! 저리가!!!,,,749,5,0,1,,,,,
,,752,고미,어딜가?,,,,21,,,,,,,
8,7003,753,1001,엄청 컸으니까... 이걸루 못오게 막아야해...!,,,749,5,0,1,,,,,
8,7002,754,1001,이럴때가 아니야... ,,,749,5,0,1,,,,,
,,754,1001,잘못하면 잡아먹힐거야...!,,,,5,0,,,,,,
8,7000,755,1001,밝게!! 밝게 만들어야 해!,,,749,9,0,1,,LightOn,,,
,,755,1001,이제... 못올거야... 무서운 건 밝은 곳을 싫어한다구 그래써...,,,,5,0,,,,,,
8,7001,756,1001,흑...엄마...,,,755,5,1,1,,,,,
,,756,1001,무서워...,,,,5,1,,,,,,
,,756,1001,하지만... 이렇게 밝고` 이불에 숨었으니까 못찾을거야...,,,,5,1,,,,,,
,,756,1002,도문아,,,,3,2,,,,,,
,,756,1001,엄마..?,,,,2,1,,,,,,
,,756,1001,엄마야..?,,,,2,1,,,,,,
,,756,1001,엄마!,,,,5,1,,,Hide,,,
,,756,1001,....,,,,0,1,,,,,,
,,756,1001,엄...마..?,,,,2,1,,,,,,
,,756,1001,어딨어 엄마?,,,,2,1,,,,,,
,,756,,여깄어,,,,,,,,Suprise,,,
,,756,1001,..!,,,,5,1,,,,,,
8,7001,757,1001,헉...헉...억...,,,756,6,1,1,,,,,
,,757,1002,도문아!,,,,4,2,,,,,,
,,757,1001,엄마...엄마아아 엉엉엉,,,,5,1,,,,,,
,,757,1002,애 땀좀봐... 이게 무슨 일이야 응?,,,,4,2,,,,,,
,,757,1001,엉엉엉 아빠아아,,,,5,1,,,,,,
,,757,1003,이제 괜찮아 도문아.,,,,2,2,,,,,,
,,757,,도문이가 계속해서 끙끙 앓는 소리가 들리자 도문이의 방으로 달려온 부모님이다.,,,,,,,,,,,
,,757,1001,엉엉엉...무서...무서웠어요. 어엉엉,,,,5,1,,,,,,
,,757,1001,나 혼자 안잘래 엉엉엉,,,,5,1,,,,,,
,,757,1002,괜찮아 도문아. 엄마랑 아빠 여기 있잖아 뚝.,,,,5,2,,,,,,
,,757,1003,무슨 꿈을 꿨길래 이렇게 울어 응?,,,,1,2,,,,,,
,,757,1001,막... 어두운데...,,,,5,1,,,,,,
,,757,1001,누가 뭘 던지고 막...,,,,5,1,,,,,,
,,757,1001,막...,,,,5,1,,,,,,
,,757,,울면서 말하던 도문의 말이 도중에 끊겼다.,,,,,,,,,,,
,,758,1001,잘 모르...겠어요. 엉엉 그냥 무서워...,,,,2,1,1,,,,,
,,758,,기억이 잘 나지는 않지만 무서운 감정이 남아 있는지 계속해서 울음을 터트리는 도문이다.,,,,,,,,,,,
,,758,1002,아이고 얼마나 무서웠으면...,,,,4,2,,,,,,
,,758,1002,자 이리와.,,,,4,2,1,,,,,
,,758,,도문을 달래기 위해 부모님은 꽉 끌어안았다.,,,,,,,,,,,
,,758,1001,엉엉엉 나 같이 잘래요 같이... 엉엉엉,,,,5,1,,,,,,
,,758,1003,그래그래 가자.,,,,2,2,,,,,,
,,758,,아버지에게 안겨 방을 떠나는 도문이다.,,,,,,,,,,,
,,758,,,,,,,,7,7세,Ending,,,
E,,,,,,,,,,,,,,,
