등장주요인물,퍼즐,Cave,,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,이미지,콘텐츠,배경음,효과음,.
,,909,1000,저기 뭔가가 춤추고 있어!,,,,6,0,,,,,,
7,972,910,1000,어…,,,909,0,0,,,,,,
,,910,1000,저건…,,,,0,0,,,,,,
7,973,911,부모님,...,,,910,8,0,,,,,,
,,911,1000,저기 뭔가 있는거 같아...,,,,6,0,,,,,,
,,911,1000,..!,,,,9,0,,,,,,
,,911,1000,저건...도문 집에 있는 식탁이랑...장난감 상자들이네.,,,,0,0,,,,,,
,,911,1000,맞아...도문은 오늘도 이 차가운 김밥을 혼자 먹었지...,,,,2,0,,,,,,
,,911,1000,...,,,,4,0,,,,,,
,,911,1000,도문이 좋아하는 계란 김밥이네. 아무리 바쁘셔도...정성껏 도문이 좋아하는 김밥을 기억하고 만들어 주셨구나.,,,,1,0,,,,,,
,,911,1000,이런 계란 김밥은 어디서도 팔지 않으니까...,,,,1,0,,,,,,
,,911,1000,저 장난감도...,,,,1,0,,,,,,
,,911,1000,도문이 좋아하는 만화에 나오는 장난감이네. 그러고 보니 언제 한번 스쳐지나가듯이 가지고 싶다고 말했던 것들이네.,,,,1,0,,,,,,
,,911,1000,...부모님도 늘 도문을 혼자 두는 것에 미안해하고 계셨을거야...,,,,5,0,,,,,,
,,911,1000,계속 놀아주고 싶고 밥도 같이 먹고 싶으셨을텐데...,,,,5,0,,,,,,
,,911,1000,일이라는게 그렇게 쉽게 원하는대로 되는게 아니니까.,,,,5,0,,,,,,
,,911,1000,그래서 이렇게라도 도문을 신경쓰고` 챙기고 계셨구나.,,,,1,0,,,,,,
,,911,1000,도문도 이 사실을 알았으면 좋겠어.,,,,2,0,,,,,,
,,911,1000,그래야 조금이라도 덜 슬퍼할 테니까.,,,,2,0,,,,,,
,,911,1000,그렇지?,,,,1,0,,,,,,
,,911,1000,...,,,,0,0,,,,,,
,,911,1000,식탁이랑 장난감들이 사라졌어.,,,,0,0,,,,,,
,,911,1000,이제...괜찮을거야.,,,,4,0,,,,,,
1,,912,,계속 뒤척이던 아이는 어느샌가 표정이 편안해지더니 고롱고롱 코를 골기 시작했다.,,,911,,,,거실,,,,
,,912,,그리고 그때 어둠이 깔린 도문의 방에 빛이 들어오기 시작했다.,,,,,,,,,,,
,,912,1002,벌써 자고 있네.,,,,2,0,,,,,,
,,912,,웬일인지 오늘은 일찍 돌아온 어머니가 집에 들어오면서 킨 불이 도문의 방을 비춘것 같다.,,,,,,,,,,,
,,912,1002,내일은 우리 둘다 쉬는 날이니까... 오랜만에 같이 놀이공원이라도 가야겠다.,,,,0,0,,,,,,
,,912,1002,조금 더 일찍 올걸 그랬네. 도문 좋아하는 치킨도 사왔는데...,,,,0,0,,,,,,
,,912,,그때 도문이 조금씩 눈을 찡그리더니 일어나기 시작했다.,,,,,,,,,,,
1,,913,,,,,912,,,2,2_4,,,,
,,913,1001,엄...마?,,,,3,1,1,,,,,
,,913,1002,응? 우리 아들 깼어? 배 안고파?,,,,2,2,,,,,,
1,,914,1001,으응... 어 치킨이다...!,,,913,8,1,,,,,,
,,914,1002,지금 먹을까? 엄마가 도문 좋아하는 오렌지 주스도 사왔는데.,,,,0,2,,,,,,
1,,915,,,,,914,,,2,2_5,,,,
,,915,1001,진짜요? 먹어도 돼요?,,,,9,1,1,,,,,
,,915,1002,그럼 먹어도 되지! 먹고 양치하고 엄마랑 일찍 자자.,,,,0,2,,,,,,
,,915,1002,내일은 아빠도 쉬신다고 하니까 놀이공원도 가고.,,,,0,2,,,,,,
,,915,1001,와 놀이공원이다! 진짜로 같이 가줄거에요?,,,,1,1,,,,,,
1,,916,1002,그럼~이제 당분간 늦게도 안올거야! 이제 매일 같이 저녁도 먹고` 엄마아빠 쉬는 날엔 놀러가자.,,,915,2,2,,거실,,,,
,,916,1002,그동안 혼자두고 잘 못놀아 줘서 미안해. 이제라도 엄마아빠랑 같이 많이 놀자 알았지?,,,,2,2,,,,,,
,,916,1001,와! 진짜 좋아요! 그럼 일단 지금은 치킨! 빨리 치킨 먹을래요!,,,,8,1,,,,,,
,,916,1002,그래그래~,,,,2,2,,,,,,
,,916,,아까와 달리 도문의 얼굴에는 환한 빛과 생기만이 돌고 있다.,,,,,,,,,,,
,,916,,마음 속에 있던 우울감과 외로움이 조금은 씻어간듯이.,,,,,,,,,,,
,,916,,이제 조금이라도 아이가 부모님의 마음을 알고 덜 외롭길...,,,,,,,,,,,
E,,,,,,,,,,,,,,,
