주요등장인물,1000|1001|1002|1003|1004|1005|1006,퍼즐,Lake|ClockTower,,,,,,,,,,,,
에피소드 id,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자 위치,레이아웃,이미지,콘텐츠,배경음,효과음,.
,,3203,1001,그럼 인사만 하고 가자.,,,,1,1,,,,,,
,,3203,1001,다들 편하게 마시고 놀다가 가라고 하고.,,,,0,1,,,,,,
,,3203,1006,에이. 됐어.,,,,0,2,,,,,,
,,3203,1006,오빠는 조금 더 놀다가 와.,,,,1,2,,,,,,
,,3203,1006,오랜만에 보는 친구들도 있을텐데.,,,,1,2,,,,,,
,,3203,1001,괜찮아. 같이 가자.,,,,1,1,,,,,,
,,3203,1006,아냐~ 나 택시 잡는 것만 도와줘.,,,,1,2,,,,,,
,,3203,1001,어차피 조금 있다가 엄마도 온다고 했거든.,,,,1,1,,,,,,
,,3203,1001,그래도. 시간 늦었는데...,,,,2,1,,,,,,
,,3203,1001,그냥 같이 가자. 애들은 어차피 다들 근처에 살아서 괜찮아.,,,,1,1,,,,,,
,,3203,1006,음... 그럼 인사만 하고 가자!,,,,1,2,,,,,,
,,3203,1001,알겠어.,,,,1,1,,,,,,
,,3203,,그렇게 도문과 새나는 먼저 간다고 인사를 돌린 후 나갔다.,,,,,,,,,,,
1,,3204,1006,술 좀 깰겸` 조금 걷다가 갈까?,,,,8,2,,거리(술집 밖),,일상3,stop,
,,3204,1001,그게 좋겠다.,,,,8,1,,,,,,
,,3204,1001,너 얼굴이 엄청 붉어.,,,,9,1,,,,,,
,,3204,1006,뭐! 진짜?,,,,9,2,,,,,,
,,3204,1006,으... 내일 안 붓길 바래야겠네...,,,,7,2,,,,,,
,,3204,,자신의 얼굴을 양 손으로 잡으며 걱정하는 새나를 보던 도문은 작게 웃음을 터트렸다.,,,,,,,,,,,
,,3204,1001,하하하 장난이야. 한 모금 밖에 안 먹었잖아.,,,,1,1,,,,,,
,,3204,1006,뭐어~!,,,,9,2,,,,,,
,,3204,1001,하하하,,,,1,1,,,,,,
,,3204,,그렇게 둘은 작은 장난들을 치면서 공원을 걷기 시작했다.,,,,,,,,,,,
,,3204,1006,이제 가야겠다.,,,,8,2,,,,,,
,,3204,1006,저기 택시 정류장까지만 같이가고 오빠도 얼른 들어가!,,,,1,2,,,,,,
,,3204,1001,집까지 같이 타고 가려했는데...,,,,2,1,,,,,,
,,3204,1006,안돼! 그럼 오빠가 너무 늦게 들어잖아. 난 괜찮아!,,,,9,2,,,,,,
,,3204,1001,응 알겠어...,,,,2,1,,,,,,
,,3204,,계속되는 완곡한 새나의 말.,,,,,,,,,,,
,,3204,,아까부터 약간 혼자 있고 싶어하는 듯해 보이기도 하는 새나였기에` 도문은 걱정되지만 수긍해버렸다.,,,,,,,,,,,
,,3204,,코앞에 있는 택시 정류장을 향해 걸어가는 둘의 걸음은 한없이 느려져만 갔다.,,,,,,,,,,,
1,,3205,1006,사실 내일이 우리 결혼식이란게 믿기지 않아.,,,,2,2,,거리(밤),,,,
,,3205,1001,...나도.,,,,0,1,,,,,,
,,3205,1006,...,,,,0,2,,,,,,
,,3205,,둘 사이에 잠깐의 적막이 흘렀다.,,,,,,,,,,,
,,3205,1006,뭔가 싱숭생숭하네...,,,,4,2,,,,,,
,,3205,1006,우리 잘 할 수 있겠지?,,,,4,2,,,,,,
,,3205,,웃으며 말하는 그녀의 모습이 무언가 많은 걸 말해주고 있었다.,,,,,,,,,,,
,,3205,,그건 말로 표현할 수 없는 것들이지만` 왜인지 도문은 이해할 수 있었다.,,,,,,,,,,,
,,3205,1006,아휴... 나도 참! 주책 맞게 무슨 말이래...,,,,1,2,,,,,,
,,3205,1006,내일이 당장 결혼 식이라고 하니까 마음이 복잡했나봐 나...,,,,1,2,,,,,,
,,3205,1006,...,,,,0,2,,,,,,
,,3205,1001,괜찮아. 늘 그래왔듯이 잘 할 수 있을 거야.,,,,0,1,,,,,,
,,3205,,그 말을 들은 새나의 얼굴이 잠깐 멍해졌다. 그러곤 슬며시 미소를 지었다.,,,,,,,,,,,
,,3205,1006,오빠 말이 맞아.,,,,1,2,,,,,,
,,3205,1006,내일이 우리를 더 큰 행복으로 이끌어줄 터닝 포인트가 될거야.,,,,1,2,,,,,,
,,3205,,그 말을 기점으로 둘은 마주 잡은 손을 더 세게 끌어잡았다.,,,,,,,,,,,
,,3205,1006,그럼 내일 봐!,,,,1,2,,,,,,
,,3205,1001,가서 연락해. 조심히 가.,,,,1,1,,,,,,
,,3205,,택시 앞에 도착을 한 후` 둘은 짧게 인사를 하곤 헤어졌다.,,,,,,,,,,,
,,3205,,택시를 타고 집으로 향하는 도문...,,,,,,,,,,,
,,3205,,도문은 멍하니 창문 밖을 응시하며 있었다.,,,,,,,,,,,
1,,3206,1001,...,,,,0,0,,도문의 방2(밤),,밤,,
,,3206,,무언가 심경이 복잡해 보인다.,,,,,,,,,,,
,,3206,,집에 도착한 도문은 바로 씻고는 머리를 말리러 책상 앞에 앉았다.,,,,,,,,,,,
,,3206,,머리를 말리는 와중에도 무언가 멍해 보이고 복잡해 보이는 표정은 풀리지 않았다.,,,,,,,,,,,
,,3206,,그러다 문득 눈 앞에 보이는 웨딩 사진이 도문의 눈에 띄었다.,,,,,,,,,,,
,,3206,,내일이 되면 결혼을 하는 도문.,,,,,,,,,,,
,,3206,,새나는 도문의 신부가 되고` 도문은 새나의 신랑이 되고.,,,,,,,,,,,
,,3206,,연인이라는 이름이 아닌 부부라는 이름으로 바뀔 내일.,,,,,,,,,,,
,,3206,,그 내일이 주는 긴장감과 복잡함은 도문의 머릿 속을 벗어나지 못했다.,,,,,,,,,,,
,,3206,1001,...,,,,0,0,,,,,,
1,,3207,,,,,,,,2,13_2,,,,
,,3207,1001,내가 널 행복하게 해줄 수 있을까...,,,,0,0,4,,,,,
,,3207,,액자를 움켜쥐고는 조그맣게 읖조린 그 한 마디.,,,,,,,,,,,
,,3207,,자기 자신에게 묻는 그 질문 속에 도문의 모든 심경이 묻어 나온 듯 했다.,,,,,,,,,,,
,,3207,,그리고 그건 마치,,,,,,,,,,,
,,3207,,우린 행복할 수 있을까,,,,,,,,,,,
,,3207,,라는 말로 들리기도 했다. ,,,,,,,,,,,
,,3207,,그렇게 한참을 사진을 움켜 쥔채 사진을 응시하던 도문은 자리에 누워 눈을 감았다.,,,,,,,,,,,
2,501,3208,1000,...,,,,0,0,1,,,,,
,,3208,1000,와... 벌써 내일이 도문이 결혼식이라고..? ,,,,9,0,,,,,,
,,3208,1000,믿기지 않아...,,,,9,0,,,,,,
,,3208,1000,...,,,,0,0,,,,,,
,,3208,1000,내가 이런데 넌 더 그렇겠구나...,,,,0,0,,,,,,
,,3208,1000,도문아` 내일이 지나면 너의 인생에 바뀌는 부분이 많아 질거야.,,,,0,0,,,,,,
,,3208,1000,이제 너의 옆엔 늘 의지할 수 있는 사람이 생기고.,,,,4,0,,,,,,
,,3208,1000,이제 너의 옆엔 늘 너를 의지하는 사람이 생기는 거야.,,,,4,0,,,,,,
,,3208,1000,그리고 점점 새로운 일들로 가득 차게 될거야.,,,,1,0,,,,,,
,,3208,1000,늘 혼자 보내던 일상이` 누군가와 함께하는 일상으로 바뀌고.,,,,1,0,,,,,,
,,3208,1000,누구에게도 털어 놓을 수 없이 혼자 기뻐하고` 혼자 슬퍼하고...,,,,2,0,,,,,,
,,3208,1000,그랬던 일들을 모두.,,,,4,0,,,,,,
,,3208,1000,너는 이제 새나와 나누게 될거야.,,,,1,0,,,,,,
,,3208,1000,그 바뀜이 너를 행복하게 해주기를 바라.,,,,1,0,,,,,,
,,3208,1000,그나저나 첫 연애가 엊그제 같은데 말이지...,,,,9,0,,,,,,
,,3208,1000,아직도 나는 안 믿기네!,,,,9,0,,,,,,
,,3208,1000,너가 처음으로 누굴 좋아하게 됐을 때가 생각나.,,,,0,0,,,,,,
,,3208,1000,그날 호숫가에 핀 꽃밭이 엄청 예뻤지...,,,,0,0,,,,,,
,,3208,1000,다시 한번 보고 싶다! 그 풍경!,,,,1,0,,,,,,
2,3250,3209,1000,우와...,,,,9,0,,,,,,
,,3209,1000,그때와는 다른 느낌이지만...,,,,9,0,,,,,,
,,3209,1000,지금의 꽃밭 너무 예뻐!,,,,1,0,,,,,,
,,3209,1000,뭔가 그때는... 파릇파릇하고 싱그러운 꽃들이 많았는데.,,,,1,0,,,,,,
,,3209,1000,지금은 진하고 향기로운 꽃들로 가득 차 있네!,,,,1,0,,,,,,
,,3209,1000,난 지금의 꽃밭이 더 마음에 들어!,,,,1,0,,,,,,
,,3209,1000,근데... 또 뭔가 불안한데...,,,,4,0,,,,,,
,,3209,1000,꽃이 엄청 휘날리네...,,,,4,0,,,,,,
,,3209,1000,어디서 바람이 세게 부는 것 같아.,,,,4,0,,,,,,
,,3209,1000,설마...!,,,,6,0,,,,,,
,,3209,1000,히익! 소용돌이! 엄청나!,,,,9,0,,,,,,
,,3209,1000,빠...빨리 해결해야 해!,,,,9,0,,,,,,
2,3250,3210,1000,도문이 너...,,,,2,0,,,,,,
,,3210,1000,정말 떨리나 보구나!,,,,2,0,,,,,,
,,3210,1000,이정도로 호수에 소용돌이가 몰아 칠 정도였다니...,,,,2,0,,,,,,
,,3210,1000,하긴 나였어도 그랬을 거야.,,,,4,0,,,,,,
,,3210,1000,사랑하는 사람과의 결혼이라니!,,,,1,0,,,,,,
,,3210,1000,하루하루가 떨리고 긴장되고... 기쁨의 연속일거야!,,,,1,0,,,,,,
,,3210,1000,특히 결혼식 전 날이니 더 그랬을 것 같네.,,,,1,0,,,,,,
,,3210,1000,너가 새나와 행복했으면 좋겠어.,,,,2,0,,,,,,
,,3210,1000,기쁜 일을 함께 겪고` 슬픈 일은 서로 나누며 남은 인생을 서로에게 의지하며...,,,,2,0,,,,,,
,,3210,1000,행복하게 살아가길...,,,,4,0,,,,,,
,,3210,1000,너의 행복을 그 누구보다 바라.,,,,1,0,,,,,,
2,501,3211,1000,그나저나...,,,3210,4,0,,,,,,
,,3211,1000,자꾸 불안한 이 기분은 뭐지...,,,,5,0,,,,,,
,,3211,1000,이상하게 들리는 소리가 있는 것 같은데...,,,,5,0,,,,,,
,,3211,1000,설마..?,,,,9,0,,,,,,
2,3230,3212,1000,헉! 이게 무슨 일이야!!,,,,9,0,,,,,,
,,3212,1000,이러다 초침 떨어지겠어!,,,,9,0,,,,,,
,,3212,1000,그리고 이러다 톱니라도 고장나면...으으!,,,,9,0,,,,,,
,,3212,1000,빨리 해결해야해!,,,,9,0,,,,,,
2,3230,3213,1000,도문아...,,,,2,0,,,,,,
,,3213,1000,기쁘기도 한 결혼식이지만` 약간 심란하기도 했구나.,,,,2,0,,,,,,
,,3213,1000,하긴... 결혼은 무조건적으로 행복만 가져다 주는 건 아니지.,,,,4,0,,,,,,
,,3213,1000,물론 불행이나 안 좋은 걸 가져다 준다는 얘기는 아니야.,,,,4,0,,,,,,
,,3213,1000,단지... ,,,,0,0,,,,,,
,,3213,1000,혼자에서 누군가를 서로 책임지고 새로운 가족을 만들고 한다는게,,,,0,0,,,,,,
,,3213,1000,지금까지는 없던 새로운 책임감을` 부담감을같이 가져다 줘.,,,,0,0,,,,,,
,,3213,1000,그런 큰 일을 쉽게 생각할 수 있는 사람은 없을거야.,,,,0,0,,,,,,
,,3213,1000,지금 너가 이렇게 불안해하고 긴장해 하는 일이 당연하다고도 생각해.,,,,0,0,,,,,,
,,3213,1000,하지만 지금은 너의 행복만을 보고` 그리고 그 행복이 원동력이 되어,,,,0,0,,,,,,
,,3213,1000,그것을 해결해 나갔으면 해.,,,,4,0,,,,,,
,,3213,1000,너와 새나라면 잘 할 수 있을거야.,,,,1,0,,,,,,
,,3213,1000,내가 지금까지 봐온 너라면 분명 그럴거야.,,,,1,0,,,,,,
1,,3214,,오늘따라 따스한 햇빛이 강렬하게 도문을 감싼다.,,,,,,,거실,,아침,,
,,3214,,도문은 잠깐 눈만 감았던 사람처럼 팍! 눈을 뜨고 일어나더니`,,,,,,,,,,,
,,3214,,빠르게 씻고 나갈 준비를 하기 시작했다.,,,,,,,,,,,
,,3214,1003,벌써 가니?,,,,1,2,,,,,,
,,3214,1002,좀있다 보자~,,,,1,2,,,,,,
,,3214,1001,네` 먼저 갈게요!,,,,1,1,,,,,,
,,3214,,서둘러 준비를 하고 나가는 도문의 뒤에서 부모님이 도문을 향해 한마디씩 건냈다.,,,,,,,,,,,
,,3214,,급하게 나가는 바람에 도문은 먼저 간다라는 한마디 밖에 하지 못했다.,,,,,,,,,,,
,,3214,,그런 도문의 뒷모습을 왜인지 행복하면서도 서글퍼 보이는 미소로 바라보는 부모님이었다.,,,,,,,,,,,
1,,3215,,스튜디오에 도착한 도문은 턱시도로 갈아입고 메이크업을 받았다.,,,,,,,로비,,일상1,,
,,3215,,그 후에 밖으로 나가 자신에게 온 하객들과 인사를 나눴다.,,,,,,,,,,,
,,3215,1004,야` 권도문!,,,,1,2,,,,,,
,,3215,,저 멀리서 재준과 장현이 도문을 향해 걸어왔다.,,,,,,,,,,,
,,3215,1005,오~ 좀 괜찮은데.,,,,1,2,,,,,,
,,3215,1004,그러게. 어제랑 좀 다른데~,,,,1,2,,,,,,
,,3215,도문,축하해주러 와서 고마워.,,,,11,1,,,,,,
,,3215,1005,당연히 와야지!,,,,,2,,,,,,
,,3215,1005,그래서 신부는 어딨냐?,,,,,,,,,,,
,,3215,도문,지금 대기실에서 친구들이랑 있어,,,,10,,,,,,,
,,3215,1004,그래? 짜식...,,,,1,2,,,,,,
,,3215,1005,우리가 먼저 신부를 보고온다!,,,,1,2,,,,,,
,,3215,,그렇게 말하는 두 사람의 얼굴과 말에 장난끼가 엄청나게 묻어난다.,,,,,,,,,,,
,,3215,친구들,하하하!,,,,20,2,,,,,,
,,3215,1004,그럼 좀 있다 식장 안에서 보자.,,,,1,2,,,,,,
,,3215,도문,응 알겠어.,,,,11,1,,,,,,
,,3215,,짧은 대화가 끝나고` 둘은 신부 대기실로 향하기 시작했다.,,,,,,,,,,,
,,3215,,그 후로도 도문은 계속 사람들을 맞이하며 인사를 나눴다.,,,,,,,,,,,
,,3215,,그렇게 조금의 시간이 흐르고... 식이 시작됐다.,,,,,,,,,,,
1,,3216,,,,,,,,2,13_3,,새나,,
,,3216,,,,,,,,,13_4,,,,
,,3216,,,,,,,,,13_5,,,,
,,3216,,,,,,,,,13_6,,,,
E,,,,,,,,,,,,,,,
