등장주요인물,1000|1001|1007,퍼즐,Volcano|Cave,,,,,,,,,,,,
씬,대화 장소,대화 묶음 id,말하는 이,대화 내용,분류,선택지 후 대사,대화 조건,초상화 id,발화자,레이아웃,이미지,콘텐츠,배경음,효과음,.
,,5605,1001,깜빡... 깜.. 빡.... 깜......,,,,3,0,,,눈이 깜빡이는 연출,,,
,,5605,1001,휴.. 택시에서라도 조금 눈좀 붙이려고 했는데..... 잠이 안오네,,,,3,0,,,,,,
2,501,5606,1000,이렇게 피곤하고 지친 상태인데도 잠에 들지 못하다니,,,,0,0,1,,,,,
,,5606,1000,하긴 편히 잠들기에는 오늘 많은 일들이 있었지,,,,0,0,,,,,,
,,5606,1000,하지만 도문아` 보이진 않겠지만 내가 언제나 너를 응원하고 있어,,,,0,0,,,,,,
,,5606,1000,오늘도 함께 잠들지 못하게 하는 나쁜 감정들을 물리치러 가보자!,,,,0,0,,,,,,
,,5606,,“….를…… 무…. 는걸까…….”,,,,,,,,,,,
,,5606,1000,응? 이게 무슨 소리지?,,,,0,0,,,,,,
,,5606,1000,화산이 있는 방향에서 소리가 들려오고 있어.,,,,0,0,,,,,,
2,5640,5607,,이제 나이가 들었다고 다들 나를 무시하는걸까?,,,,,,1,,,,,
,,5607,,의사도` 내 딸도`,,,,,,,,,,,
,,5607,,내가 과민 반응하는 걸까? 너무 화가 나...,,,,,,,,,,,
,,5607,1000,도문이가 화가 많이 난 상태인가봐,,,,9,1,,,,,,
,,5607,1000,화산이 끓어오르고 있어,,,,9,1,,,,,,
,,5607,1000,도문아` 네가 진정할 수 있도록 도와줄게,,,,0,1,,,(화면의 흔들림으로 화산의 상태를 표현하면 좋을 것 같습니다.),,,
,,5607,1000,화산이 폭발하는 일은 절대 없을거야.,,,,0,1,,,,,,
2,5640,5608,1000,도문아 괜찮아?,,,,0,0,1,,,,,
,,5608,1000,다행히 화산이 폭발하기 전에 막아내었어..,,,,0,0,,,,,,
,,5608,1000,조금만 늦었어도 큰일 날 뻔했네,,,,0,0,,,,,,
2,501,5609,1000,하지만 끓어오르는 분노가 가라앉고나면,,,5608,0,0,1,,,,,
,,5609,1000,화려했던 감정의 혼돈만큼,,,,0,0,,,,,,
,,5609,1000,고요한 공허함이 더욱 커다랗게 느껴질 텐데...,,,,0,0,,,,,,
,,5609,1000,동굴의 상태가 걱정이 되는걸,,,,0,0,,,,,,
,,5609,1000,어서 확인해보러 가야겠어.,,,,0,0,,,,,,
7,5670,5610,1000,역시... 분위기가 심상치 않아,,,5609,6,0,1,,,,,
,,5610,1000,무섭지만 도문이를 위해서 들어가봐야해,,,,6,0,,,,,,
7,5671,5611,1000,어? 도문이가 어릴 때의 웃음소리잖아?,,,,0,0,1,,,,,
,,5611,1000,도문이가 어린 시절을 그리워하고 있나 봐..,,,,0,0,,,,,,
7,5672,5612,1000,도문이의.. 울음 소리가 들리고 있어…,,,,0,0,1,,,,,
,,5612,1000,마음은.. 아직 젊은데.. 언제 이렇게 나이를 먹어버린 걸까…,,,,0,0,,,,,,
,,5612,1000,도문아… 울지마..,,,,2,0,,,,,,
7,5673,5613,1000,…,,,,0,0,1,,,,,
,,5613,1000,이비는 이런 마음으로 문자를 보냈던 거구나,,,,0,0,,,,,,
,,5613,1000,오해가 풀려서 정말 다행이야,,,,8,0,,,,,,
,,5613,1000,도문아` 좋지 않은 기분에만 너무 사로잡혀 있었어..,,,,0,0,1,,,,,
,,5613,1000,이럴 때일수록 가족들에게 더 의지하고 고맙다는 표현을 해주자!,,,,0,0,,,,,,
2,501,5614,1000,도문아 정말 잘했어.,,,,0,0,1,,,,,
,,5614,1000,자신의 두려움과 직면하는 것은 굉장히 어려운 일인데,,,,0,0,,,,,,
,,5614,1000,이런 모습들을 봤을때 넌 정말 멋진 어른이 되었다고 생각해,,,,0,0,,,,,,
,,5614,1000,누구나 언젠가 나이를 먹지만,,,,0,0,,,,,,
,,5614,1000,너처럼 멋지게 나이먹는건 누구나 할 수 있는 일이 아니야,,,,0,0,,,,,,
,,5614,1000,너의 나이를 초라하다고 생각하지 마,,,,0,0,,,,,,
,,5614,1000,지금까지 네가 살아온 날들에 자긍심을 가졌으면 좋겠어.,,,,0,0,,,,,,
1,,5615,,덜컹,,,,,,1,차_내부,,,,
,,5615,1001,...!!,,,,9,0,,,,,,
,,5615,1001,나.. 얼마나 잔 거지...,,,,9,0,,,,,,
,,5615,택시기사,아이고 손님 죄송합니다.,,,,0,2,,,,,,
,,5615,택시기사,주무시는 것 같아서 천천히 운전했는데 과속방지턱에 걸려서 차가 조금 흔들렸네요.,,,,0,2,,,,,,
,,5615,1001,아.. 괜찮습니다.,,,,0,1,,,,,,
,,5615,,도문은 시간을 확인하기 위해 주섬주섬 핸드폰을 꺼냈다.,,,,,,,,,,,
,,5615,,그러다 낮에 이비와 주고 받았던 메세지를 다시 보게 되었다`,,,,,,,,,,,
,,5615,1001,내가 이렇게 말했었다니.. 이비가 많이 속상했겠네,,,,0,0,,,,,,
,,5615,,들쭉날쭉한 감정의 기복으로 마음 고생했던만큼,,,,,,,,,,,
,,5615,,가족들도 함께 힘들어하고 있었을 것을 생각하니,,,,,,,,,,,
,,5615,,미안하기도 하고 고맙기도 한 복합적인 감정을 느끼는 도문이었다.,,,,,,,,,,,
1,,5616,1001,기사님 저기 치킨집 앞에서 내려주세요.,,,,0,1,1,,,,,
,,5616,,이런걸로 가족들에게 자신의 마음이 다 표현될 수 있을까 걱정하면서도,,,,,,,,,,,
,,5616,,도문의 입가에는 미소가 번지고 있었다.,,,,,,,,,,,
,,5616,,치킨이라면 눈이 초롱거리는 새나와 이비의 모습을 생각하고 있는걸까?,,,,,,,,,,,
,,5616,,집으로 돌아가는 도문의 발걸음이 오히려 가볍다.,,,,,,,,,,,
,,5616,,,,,,,,2,16_4,,,,
E,,,,,,,,,,,,,,,
